Name,Price,Weight,URL
Siru Keerai/சிறு கீரை,₹25.00,1-PS,https://farm2bag.com/en/search?category=615c93067df3e48e8bf01afb
Mulai Keerai/முளை கீரை,₹25.00,1-PS,https://farm2bag.com/en/search?category=615c93067df3e48e8bf01afb
Thandu Keerai/தண்டு கீரை,₹25.00,1-PS,https://farm2bag.com/en/search?category=615c93067df3e48e8bf01afb
Palak Keerai/பாலக் கீரை,₹25.00,1-PS,https://farm2bag.com/en/search?category=615c93067df3e48e8bf01afb
Thoothuvalai/தூதுவளை,₹25.00,1-PS,https://farm2bag.com/en/search?category=615c93067df3e48e8bf01afb
Pasalai Keerai/பசலைக் கீரை,₹25.00,1-PS,https://farm2bag.com/en/search?category=615c93067df3e48e8bf01afb
Spring Onion/வெங்காயத்தாள்,₹20.00,1-PS,https://farm2bag.com/en/search?category=615c93067df3e48e8bf01afb
Cluster Bean (kotthavarangai),₹25.00,250-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Amla (nelli Kai),₹24.00,200-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Lady's Finger (vendaikai),₹25.00,250-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Snake Guard (pudalangai),₹20.00,250-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Mint (pudina Kattu),₹10.00,1-PS,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Raw Mango (maangai),₹80.00,500-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Drum Stick (murungai Kai),₹40.00,3-PS,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Curry Leaves (karuvepillai),₹10.00,1-PS,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Coriander Leaf (kotthamali Kattu),₹12.00,1-PS,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Brinjal (kathiri Kai),₹40.00,500-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Ridge Gourd (peerkan Kai),₹50.00,500-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Bitter Guard (pava Kai) -long,₹20.00,250-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Yellow Pumpkin (manjal Poosani Kai),₹15.00,500-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Broadbeans (avarai),₹25.00,250-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Bottle Guard (surai Kai),₹45.00,500-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Ivy Guard (kovai Kai),₹20.00,250-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Onion (periya Vengayam),₹25.00,500-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Small Onion (chinna Vengayam),₹30.00,250-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Tomato (thakkali),₹12.50,500-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Green Chilli (pachai Milagai),₹10.00,100-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Coconut (thengai),₹45.00,1-PS,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Ginger (inji),₹25.00,250-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Country Garlic (naattu Poondu),₹40.00,100-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Hill Garlic (malai Poondu),₹25.00,100-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Organic Cucumber (vellari ),₹60.00,500-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Plantain Stem (valai Thandu),₹12.00,1-PS,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Plantain (valai Kai),₹10.00,1-PS,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Plantain Flower (vaalai Poo),₹35.00,1-PS,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Elephant Yam (senai Kilangu),₹60.00,500-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Lemon (elumichai),₹14.00,2-PS,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Small Elephant Yam (pidikaranai),₹70.00,500-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Green Peas/பச்சை பட்டாணி,₹16.00,200-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Sweet Potato (sakkarai Valli Kilangu),₹50.00,500-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
White Pumpkin (vellai Poosini),₹15.00,500-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Paneer Bitter Guard (siru Paava Kai),₹25.00,250-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Vadu Mangai,₹112.50,250-G,https://farm2bag.com/en/search?category=611a54c555c5cb38895fc9e0
Carrot,₹30.00,250-G,https://farm2bag.com/en/search?category=611a500f55c5cb38895fc6bb
Beans,₹25.00,250-G,https://farm2bag.com/en/search?category=611a500f55c5cb38895fc6bb
Mushroom/காளான்,₹50.00,1-PS,https://farm2bag.com/en/search?category=611a500f55c5cb38895fc6bb
Green Capsicum (kudai Milagai),₹25.00,250-G,https://farm2bag.com/en/search?category=611a500f55c5cb38895fc6bb
Raddish (mullangi),₹20.00,250-G,https://farm2bag.com/en/search?category=611a500f55c5cb38895fc6bb
Beetroot,₹22.50,250-G,https://farm2bag.com/en/search?category=611a500f55c5cb38895fc6bb
Cabbage (muttai Kose),₹30.00,500-KG,https://farm2bag.com/en/search?category=611a500f55c5cb38895fc6bb
Chow Chow,₹40.00,500-G,https://farm2bag.com/en/search?category=611a500f55c5cb38895fc6bb
Cauliflower,₹45.00,1-PS,https://farm2bag.com/en/search?category=611a500f55c5cb38895fc6bb
Potato (urulai) (ooty),₹35.00,500-G,https://farm2bag.com/en/search?category=611a500f55c5cb38895fc6bb
Sweet Corn,₹25.00,1-PS,https://farm2bag.com/en/search?category=611a500f55c5cb38895fc6bb
Color Capsicum (kudai Milagai),₹35.00,250-G,https://farm2bag.com/en/search?category=611a500f55c5cb38895fc6bb
Brocolli,₹30.00,250-G,https://farm2bag.com/en/search?category=611a500f55c5cb38895fc6bb
Potato (urulai) (agra),₹15.00,250-G,https://farm2bag.com/en/search?category=611a500f55c5cb38895fc6bb
